Id_sensora,Id_stacji,longitude,latitude,parametr,wartosc,data_pomiaru
21130,11794,18.216261,50.091142,PM2.5,69.5483,2024-01-28_21:00:00
19756,11195,20.633692,50.878998,SO2,6.1,2024-01-28_21:00:00
19749,11195,20.633692,50.878998,PM10,27.5,2024-01-28_21:00:00
19753,11195,20.633692,50.878998,PM2.5,25.0,2024-01-28_21:00:00
19740,11195,20.633692,50.878998,C6H6,2.4,2024-01-28_21:00:00
5118,778,21.277367,50.429014,SO2,4.9,2024-01-28_21:00:00
5115,778,21.277367,50.429014,PM10,29.4,2024-01-28_21:00:00
5116,778,21.277367,50.429014,PM2.5,28.7,2024-01-28_21:00:00
17799,10794,20.266032,50.809610,SO2,10.6,2024-01-28_20:00:00
17800,10794,20.266032,50.809610,PM10,34.8,2024-01-28_20:00:00
21047,11754,20.614057,50.621482,SO2,1.4,2024-01-28_21:00:00
26004,11754,20.614057,50.621482,PM10,23.7,2024-01-28_21:00:00
29553,17758,20.891593,51.115842,SO2,29.5,2024-01-28_21:00:00
29550,17758,20.891593,51.115842,PM10,95.1,2024-01-28_21:00:00
29556,17758,20.891593,51.115842,PM2.5,89.2,2024-01-28_21:00:00
5770,877,20.486075,53.789233,SO2,4.19467,2024-01-28_21:00:00
5766,877,20.486075,53.789233,PM10,16.8974,2024-01-28_21:00:00
5768,877,20.486075,53.789233,PM2.5,15.9274,2024-01-28_21:00:00
5752,877,20.486075,53.789233,C6H6,0.52666,2024-01-28_21:00:00
5754,877,20.486075,53.789233,CO,391.706,2024-01-28_21:00:00
5761,877,20.486075,53.789233,NO2,6.24587,2024-01-28_21:00:00
5686,861,19.410942,54.167847,SO2,0.33546,2024-01-28_21:00:00
5683,861,19.410942,54.167847,PM10,34.5628,2024-01-28_21:00:00
20691,861,19.410942,54.167847,PM2.5,32.1469,2024-01-28_21:00:00
5671,861,19.410942,54.167847,C6H6,3.92807,2024-01-28_21:00:00
5673,861,19.410942,54.167847,CO,476.51500000000004,2024-01-28_21:00:00
5678,861,19.410942,54.167847,NO2,33.9125,2024-01-28_21:00:00
2774,401,19.949189,50.010575,SO2,5.60831,2024-01-28_21:00:00
2770,401,19.949189,50.010575,PM10,43.2807,2024-01-28_20:00:00
2797,402,20.053492,50.069308,SO2,0.73273,2024-01-28_21:00:00
2792,402,20.053492,50.069308,PM10,30.8036,2024-01-28_21:00:00
2794,402,20.053492,50.069308,PM2.5,27.8332,2024-01-28_21:00:00
2779,402,20.053492,50.069308,C6H6,1.27872,2024-01-28_21:00:00
2783,402,20.053492,50.069308,CO,761.9599999999999,2024-01-28_21:00:00
2788,402,20.053492,50.069308,NO2,34.9556,2024-01-28_21:00:00
3073,444,21.004167,50.020169,SO2,10.0005,2024-01-28_21:00:00
3070,444,21.004167,50.020169,PM10,72.1751,2024-01-28_20:00:00
2944,426,20.714403,49.619281,SO2,3.85552,2024-01-28_21:00:00
2941,426,20.714403,49.619281,PM10,52.5328,2024-01-28_20:00:00
14751,9175,21.498606,49.511297,SO2,7.79971,2024-01-28_21:00:00
17265,10438,21.440942,50.299128,SO2,8.38465,2024-01-28_21:00:00
